Employee ID,Full Name,First Name,Middle Name,Last Name,Gender,Date of Birth,National ID,KRA PIN,SHA Number,NSSF Number,Phone Number,Email,Department,Position,Seniority Level,Hire Date,Basic Salary (KES),Bonus (KES),Gross Salary (KES),NSSF Deduction (KES),PAYE (KES),Net Salary (KES),Bank Name,Bank Account No,Leave Days Remaining,Employment Status,Title
EMP-001,Kevin Wairimu Njenga,Kevin,Wairimu,Njenga,Male,1981-12-21,13439167,A13439167B,SHA9963334018,8078673,0783140807,kevin.njenga54@company.co.ke,Sales,Sales Representative,Junior,2015-04-19,42000,1000,43000,2160,4635,36205,KCB Bank,4844398147930,46,Active,Mr.
EMP-002,Wanjiku Wanjiku Mbatha,Wanjiku,Wanjiku,Mbatha,Female,1998-08-18,15217026,A15217026C,SHA8574149614,2714803,0726753883,wanjiku.mbatha49@company.co.ke,ICT,IT Support,Junior,2024-01-19,46000,1000,47000,2160,5835,39005,I&M Bank,7314017318807,41,Active,Ms.
EMP-003,Njeri Mugo Kuria,Njeri,Mugo,Kuria,Female,1986-06-07,17646997,A17646997H,SHA8615270538,2338687,0799949389,njeri.kuria35@company.co.ke,Finance,Accountant,Junior,2019-02-03,49000,2000,51000,2160,7035,41805,Equity Bank,5889305412567,58,Active,Ms.
EMP-004,Peter Mohamed Mutuku,Peter,Mohamed,Mutuku,Male,1981-11-16,22732411,A22732411L,SHA1240251661,1538552,0763100814,peter.mutuku83@company.co.ke,Sales,Sales Representative,Junior,2021-05-12,41000,2000,43000,2160,4635,36205,I&M Bank,2165086075550,53,Active,Mr.
EMP-005,Winnie Musyoka Kyalo,Winnie,Musyoka,Kyalo,Female,1995-03-26,29580115,A29580115E,SHA7010379415,4679591,0766661351,winnie.kyalo77@company.co.ke,Procurement,Senior Procurement Officer,Mid-level,2016-03-25,79000,0,79000,2160,15435,61405,DTB Bank,2599847468511,59,Active,Mrs.
EMP-006,Stella Juma Ngugi,Stella,Juma,Ngugi,Female,1991-03-17,10385239,A10385239D,SHA8519962896,6707197,0724282218,stella.ngugi81@company.co.ke,Customer Service,Customer Service Manager,Manager,2023-02-05,119000,0,119000,2160,27435,89405,Absa Bank Kenya,3780711143066,55,Active,Mrs.
EMP-007,John Mugo Mbatha,John,Mugo,Mbatha,Male,1977-02-24,36126369,A36126369R,SHA4944899549,6438436,0775228535,john.mbatha9@company.co.ke,Human Resources,HR Specialist,Mid-level,2024-11-05,62000,0,62000,2160,10335,49505,KCB Bank,6410828897069,3,Probation,Mr.
EMP-008,James Hassan Macharia,James,Hassan,Macharia,Male,1989-09-15,39273995,A39273995T,SHA7900268326,4553384,0726240908,james.macharia32@company.co.ke,Human Resources,HR Officer,Junior,2022-04-15,47000,2000,49000,2160,6435,40405,NCBA Bank,6483440362214,52,Active,Mr.
EMP-009,Faith Omondi Kimani,Faith,Omondi,Kimani,Female,1993-08-08,31176301,A31176301B,SHA1252860896,2130789,0773481353,faith.kimani53@company.co.ke,Engineering,Software Engineer,Junior,2016-06-25,50000,1000,51000,2160,7035,41805,Standard Chartered Kenya,5897284939565,45,Active,Ms.
EMP-010,Elijah Njenga Adhiambo,Elijah,Njenga,Adhiambo,Male,1981-09-15,34463726,A34463726B,SHA9822598054,2651177,0728814949,elijah.adhiambo55@company.co.ke,ICT,Network Engineer,Mid-level,2017-10-15,80000,6000,86000,2160,17535,66305,I&M Bank,6968837227691,57,Active,Mr.
